                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0211,                 3.1237,                 1.9965,                0.97213,                   0.24,                0.32597,                0.07605,                 2.4034,                 2.8403,                 2.1203,               0.070058,              0.0033269,              0.0033269
                      2,                 1.8813,                 2.5621,                 1.8467,                0.47974,                   0.56,                0.44075,                0.13655,                 2.2619,                 2.4962,                 2.1108,               0.039926,              0.0065283,              0.0065283
                      3,                 1.9144,                 2.4595,                 1.8967,                0.65449,                   0.16,                0.17062,                0.05238,                 2.4649,                 3.7184,                  2.706,              0.0096623,              0.0095978,              0.0095978
                      4,                 1.9492,                 2.4726,                 1.9405,                 0.5564,                   0.44,                0.38727,                0.13763,                 2.4919,                 2.8374,                 2.3677,               0.009406,               0.009406,               0.009406
                      5,                 1.9261,                 2.4086,                 1.9291,                0.64764,                   0.48,                0.55416,                0.20037,                 2.2058,                  2.476,                 2.0816,               0.009406,               0.009406,               0.009406
                      6,                 1.8844,                 2.3271,                 1.8949,                0.82232,                0.55563,                0.61512,                 0.2501,                 2.3766,                 2.0258,                 2.1579,               0.009208,               0.009208,               0.009208
                      7,                 1.8792,                 2.2738,                 1.8813,                0.94006,                   0.52,                0.60574,                0.25523,                 2.3799,                 2.3004,                 2.2389,                0.00901,                0.00901,                0.00901
                      8,                 1.8351,                 2.2012,                  1.863,                0.96345,                   0.56,                0.66998,                0.29288,                 2.0994,                 1.7144,                 1.9841,               0.008812,               0.008812,               0.008812
                      9,                 1.8306,                  2.174,                  1.855,                0.75203,                   0.44,                0.49517,                 0.1109,                 2.6051,                  2.529,                 2.5665,               0.008614,               0.008614,               0.008614
                     10,                 1.7708,                 2.1335,                 1.7974,                0.54159,                   0.56,                0.54443,                0.22455,                 2.2893,                 1.9359,                 2.1771,               0.008416,               0.008416,               0.008416
                     11,                 1.7862,                 2.0967,                  1.807,                      1,                0.63515,                0.70073,                0.25894,                 2.2782,                 2.1654,                 2.2586,               0.008218,               0.008218,               0.008218
                     12,                  1.775,                 2.0805,                 1.8108,                0.73008,                   0.56,                0.62884,                0.24265,                 2.4629,                 1.8111,                 2.3039,                0.00802,                0.00802,                0.00802
                     13,                 1.7481,                 2.0222,                  1.781,                0.81208,                   0.68,                0.77808,                0.29758,                 2.4152,                    1.6,                 2.1929,               0.007822,               0.007822,               0.007822
                     14,                 1.7031,                 1.9966,                  1.756,                      1,                0.59752,                0.69601,                0.27268,                  2.262,                 1.7909,                 2.1424,               0.007624,               0.007624,               0.007624
                     15,                  1.743,                 2.0199,                  1.779,                0.75693,                   0.72,                0.78213,                0.23882,                 2.3642,                 1.8624,                 2.2307,               0.007426,               0.007426,               0.007426
                     16,                 1.7021,                 1.9661,                 1.7565,                0.97137,                   0.64,                0.71407,                0.24295,                 2.5097,                 1.8124,                 2.3606,               0.007228,               0.007228,               0.007228
                     17,                 1.7075,                 1.9374,                 1.7478,                0.80773,                   0.56,                0.67821,                 0.2325,                 2.3737,                  2.101,                 2.1996,                0.00703,                0.00703,                0.00703
                     18,                 1.7163,                 1.9276,                 1.7609,                0.88849,                0.63756,                 0.6947,                0.28274,                  2.233,                 1.7774,                 2.1101,               0.006832,               0.006832,               0.006832
                     19,                  1.664,                 1.8604,                 1.7168,                 0.9794,                    0.6,                0.73322,                0.28706,                 2.2179,                 1.6292,                 2.0544,               0.006634,               0.006634,               0.006634
                     20,                  1.649,                 1.8613,                 1.7193,                0.98501,                   0.56,                0.65921,                0.31403,                  2.194,                 1.8074,                 2.1084,               0.006436,               0.006436,               0.006436
                     21,                 1.6558,                 1.8353,                 1.7199,                0.76438,                   0.72,                0.70074,                0.28785,                 2.3972,                 1.6427,                 2.1806,               0.006238,               0.006238,               0.006238
                     22,                 1.6472,                 1.8118,                 1.6839,                0.91069,                0.81617,                0.87319,                0.33184,                 2.3181,                  1.511,                 2.1011,                0.00604,                0.00604,                0.00604
                     23,                 1.6485,                 1.8091,                 1.6959,                0.76706,                    0.8,                0.74534,                0.30521,                 2.3874,                 1.5724,                 2.1322,               0.005842,               0.005842,               0.005842
                     24,                 1.6289,                 1.7651,                 1.6863,                0.78411,                   0.72,                 0.7279,                0.24729,                  2.451,                 1.3997,                 2.2776,               0.005644,               0.005644,               0.005644
                     25,                 1.6086,                 1.7512,                  1.676,                0.84651,                0.66234,                0.74076,                0.29908,                 2.3189,                 1.5518,                 2.1085,               0.005446,               0.005446,               0.005446
                     26,                 1.6247,                 1.7508,                 1.6684,                0.87017,                   0.72,                  0.811,                0.39149,                 2.1861,                 1.4523,                 2.0215,               0.005248,               0.005248,               0.005248
                     27,                 1.5931,                 1.7202,                 1.6434,                 0.9682,                   0.68,                0.77824,                0.31036,                 2.1923,                 1.6717,                 2.1482,                0.00505,                0.00505,                0.00505
                     28,                 1.5874,                 1.7165,                 1.6644,                0.76717,                   0.72,                0.71639,                0.28611,                 2.3779,                 1.5666,                 2.1555,               0.004852,               0.004852,               0.004852
                     29,                 1.5883,                 1.6789,                 1.6553,                0.87649,                   0.68,                0.78395,                0.33786,                 2.1873,                 1.4439,                 2.0241,               0.004654,               0.004654,               0.004654
                     30,                 1.5833,                 1.7033,                 1.6379,                0.89415,                   0.76,                 0.7857,                 0.3293,                 2.3033,                 1.4376,                 2.0974,               0.004456,               0.004456,               0.004456
                     31,                 1.5759,                 1.6371,                 1.6341,                0.97823,                   0.56,                0.74492,                0.26602,                    2.4,                 1.5627,                 2.2702,               0.004258,               0.004258,               0.004258
                     32,                 1.5554,                 1.6298,                 1.6172,                0.93749,                0.59989,                0.78257,                0.27533,                 2.3852,                 1.5488,                 2.2426,                0.00406,                0.00406,                0.00406
                     33,                 1.5704,                 1.6334,                 1.6176,                0.78192,                   0.72,                0.77267,                0.30033,                 2.2989,                 1.4729,                 2.0659,               0.003862,               0.003862,               0.003862
                     34,                  1.566,                 1.5987,                 1.6154,                0.94073,                0.63515,                0.75485,                0.31161,                 2.3082,                 1.4574,                 2.0486,               0.003664,               0.003664,               0.003664
                     35,                 1.5443,                 1.5705,                 1.5978,                0.70688,                   0.84,                0.77839,                 0.3178,                 2.1441,                  1.464,                 1.9731,               0.003466,               0.003466,               0.003466
                     36,                 1.5263,                  1.566,                 1.5915,                 0.8393,                   0.72,                0.72357,                0.34914,                 2.0739,                 1.3746,                   1.89,               0.003268,               0.003268,               0.003268
                     37,                 1.5272,                  1.581,                 1.5914,                0.75988,                   0.76,                0.75508,                0.33498,                 2.2638,                 1.3392,                 2.0411,                0.00307,                0.00307,                0.00307
                     38,                 1.5271,                 1.5633,                 1.5952,                0.92398,                   0.72,                0.80224,                0.30324,                 2.4037,                 1.3248,                 2.1561,               0.002872,               0.002872,               0.002872
                     39,                 1.4961,                 1.5049,                  1.563,                 0.9023,                   0.64,                0.72069,                0.31389,                 2.2257,                 1.3963,                 2.0516,               0.002674,               0.002674,               0.002674
                     40,                 1.5085,                 1.5312,                 1.5839,                0.92078,                    0.6,                0.75089,                0.30137,                 2.3879,                  1.472,                 2.2187,               0.002476,               0.002476,               0.002476
                     41,                 1.5209,                 1.3234,                 1.6251,                      1,                 0.6713,                0.75911,                0.33363,                 2.2091,                 1.3423,                 2.0005,               0.002278,               0.002278,               0.002278
                     42,                 1.4858,                 1.2573,                 1.6003,                0.98856,                   0.68,                 0.8125,                0.36344,                 2.1121,                  1.294,                  1.942,                0.00208,                0.00208,                0.00208
                     43,                 1.4592,                 1.2476,                 1.5896,                0.89368,                   0.76,                0.84318,                0.34823,                 2.2426,                  1.312,                 2.0264,               0.001882,               0.001882,               0.001882
                     44,                 1.4614,                 1.2484,                 1.5848,                 0.8969,                   0.76,                0.80883,                0.35114,                 2.0404,                 1.3145,                 1.8237,               0.001684,               0.001684,               0.001684
                     45,                  1.432,                 1.1993,                 1.5688,                0.66262,                   0.84,                0.81118,                0.35901,                 2.0402,                 1.3771,                 1.8789,               0.001486,               0.001486,               0.001486
                     46,                 1.4288,                 1.1791,                 1.5704,                0.88438,                   0.76,                0.80009,                0.35814,                 2.1423,                 1.2382,                  1.969,               0.001288,               0.001288,               0.001288
                     47,                 1.4085,                  1.159,                   1.55,                 0.9033,                   0.76,                0.79099,                 0.3638,                 2.0462,                 1.3075,                  1.881,                0.00109,                0.00109,                0.00109
                     48,                 1.4033,                 1.1443,                 1.5366,                0.87913,                   0.68,                0.76839,                0.33224,                 2.0682,                 1.3609,                 1.9286,               0.000892,               0.000892,               0.000892
                     49,                 1.3811,                 1.1196,                 1.5219,                0.89903,                0.71264,                0.79175,                0.36811,                 2.0131,                 1.3677,                 1.8904,               0.000694,               0.000694,               0.000694
                     50,                 1.3863,                 1.1178,                 1.5324,                0.98415,                   0.68,                0.78594,                0.34764,                 2.0744,                 1.2975,                 1.9275,               0.000496,               0.000496,               0.000496
